"시간","서버","채널","사용내용"
"2026-05-20 14:46:50","질안좋은무리","미닝ㅇ","/가입"
"2026-05-20 14:46:52","질안좋은무리","미닝ㅇ","/농사"
"2026-05-20 14:46:55","질안좋은무리","미닝ㅇ","/전리품"
"2026-05-20 14:46:55","질안좋은무리","미닝ㅇ","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:2,050,000원"
"2026-05-20 14:47:10","질안좋은무리","미닝ㅇ","/가위바위보 배팅액:2000000"
"2026-05-20 14:47:13","질안좋은무리","미닝ㅇ","[버튼 클릭] customId:rps_rock_2000000"
"2026-05-20 14:47:14","질안좋은무리","미닝ㅇ","[결과] 가위바위보 결과: win / 선택:✊ / 봇:✌️ / 배팅:2,000,000원 / 변동:6,000,000원 / 잔액:8,050,000원"
"2026-05-20 15:53:26","질안좋은무리","미닝ㅇ","/가위바위보 배팅액:2000000"
"2026-05-20 15:53:28","질안좋은무리","미닝ㅇ","[버튼 클릭] customId:rps_scissors_2000000"
"2026-05-20 15:53:28","질안좋은무리","미닝ㅇ","[결과] 가위바위보 결과: lose / 선택:✌️ / 봇:✊ / 배팅:2,000,000원 / 변동:6,000,000원 / 잔액:2,050,000원"
"2026-05-20 15:53:31","질안좋은무리","미닝ㅇ","/가위바위보 배팅액:2000000"
"2026-05-20 15:53:32","질안좋은무리","미닝ㅇ","[버튼 클릭] customId:rps_rock_2000000"
"2026-05-20 15:53:32","질안좋은무리","미닝ㅇ","[결과] 가위바위보 결과: lose / 선택:✊ / 봇:✋ / 배팅:2,000,000원 / 변동:6,000,000원 / 잔액:-3,950,000원"
"2026-05-20 15:53:40","질안좋은무리","미닝ㅇ","/파산신청"
