"시간","서버","채널","사용내용"
"2026-06-25 00:23:59","비밀 서버","일반","/가입"
"2026-06-25 00:24:09","비밀 서버","일반","/쿠폰사용"
"2026-06-25 00:24:14","비밀 서버","일반","[모달 제출] customId:coupon_use_modal"
"2026-06-26 10:50:26","비밀 서버","일반","/가입"
"2026-06-26 10:50:32","비밀 서버","일반","/농사"
"2026-06-26 10:50:39","비밀 서버","일반","/가방"
"2026-06-26 13:46:51","미닝 서포트서버","송랜쿠 / 수리석 무한매입⭐","/가방"
"2026-06-26 13:46:54","미닝 서포트서버","송랜쿠 / 수리석 무한매입⭐","[선택 메뉴] customId:bag_select 값:repairStone"
"2026-06-26 13:46:58","미닝 서포트서버","송랜쿠 / 수리석 무한매입⭐","[유저 선택] customId:use_repairStone 유저:1145744327000207382"
"2026-07-08 17:08:47","꒰ა 𝓜𝓪𝓶𝓮𝓵 𝓗𝓸𝓽𝓮𝓵 ໒꒱","❥-빈집","/출석체크"
"2026-07-08 17:11:12","꒰ა 𝓜𝓪𝓶𝓮𝓵 𝓗𝓸𝓽𝓮𝓵 ໒꒱","❥-빈집","/농사"
"2026-07-12 15:13:31","꒰ა 𝓜𝓪𝓶𝓮𝓵 𝓗𝓸𝓽𝓮𝓵 ໒꒱","❥-렌고쿠네","/출석체크"
"2026-07-12 15:13:37","꒰ა 𝓜𝓪𝓶𝓮𝓵 𝓗𝓸𝓽𝓮𝓵 ໒꒱","❥-렌고쿠네","/전리품"
"2026-07-12 15:13:38","꒰ა 𝓜𝓪𝓶𝓮𝓵 𝓗𝓸𝓽𝓮𝓵 ໒꒱","❥-렌고쿠네","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:2,067,925원"
"2026-07-12 15:16:52","꒰ა 𝓜𝓪𝓶𝓮𝓵 𝓗𝓸𝓽𝓮𝓵 ໒꒱","❥-렌고쿠네","/전리품"
"2026-07-15 13:39:45","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","/출석체크"
"2026-07-15 13:39:54","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","/전리품"
"2026-07-15 13:39:54","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:2,577,925원"
"2026-07-15 21:17:53","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","/전리품"
"2026-07-15 21:17:54","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","[결과] 전리품 결과: 상급 / 획득:5,000,000원 / 잔액:7,577,925원"
"2026-07-15 21:18:03","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","/낚시 금액:40000"
"2026-07-15 21:18:03","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","[결과] 낚시 결과: **낚시 성공** / 배팅:40,000원 / 변동:40,000원 / 잔액:7,617,925원"
"2026-07-15 21:18:08","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","/낚시 금액:40000"
"2026-07-15 21:18:08","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","[결과] 낚시 결과: **낚시 성공** / 배팅:40,000원 / 변동:80,000원 / 잔액:7,697,925원"
"2026-07-15 21:18:11","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","/낚시 금액:40000"
"2026-07-15 21:18:11","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","[결과] 낚시 결과: **낚시 성공** / 배팅:40,000원 / 변동:40,000원 / 잔액:7,737,925원"
"2026-07-15 21:18:14","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","/낚시 금액:40000"
"2026-07-15 21:18:14","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","[결과] 낚시 결과: **낚시 실패** / 배팅:40,000원 / 변동:-80,000원 / 잔액:7,657,925원"
"2026-07-15 21:18:22","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","/낚시 금액:7657925"
"2026-07-15 21:18:22","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","[결과] 낚시 결과: **낚시 실패** / 배팅:7,657,925원 / 변동:-15,315,850원 / 잔액:-7,657,925원"
"2026-07-15 21:18:35","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","/파산신청"
"2026-07-18 00:17:27","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","/가방"
"2026-07-18 00:19:11","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","/가방"
