"시간","서버","채널","사용내용"
"2026-06-23 15:35:58","SM타운","room-미닝봇","/가입"
"2026-06-23 15:36:10","SM타운","room-미닝봇","/출석체크"
"2026-06-23 15:36:22","SM타운","room-미닝봇","/로또 금액:60000"
"2026-06-23 15:36:22","SM타운","room-미닝봇","[결과] 로또 결과: **2등 당첨** / 배팅:60,000원 / 변동:180,000원 / 잔액:240,000원"
"2026-07-16 17:47:24","SM타운","room-미닝봇","/출석체크"
"2026-07-16 17:47:41","SM타운","room-미닝봇","/농사"
"2026-07-16 17:48:26","SM타운","room-미닝봇","/농사"
"2026-07-16 17:48:51","SM타운","room-미닝봇","/복권"
"2026-07-16 17:48:53","SM타운","room-미닝봇","[버튼 클릭] customId:lotto_sheep"
"2026-07-16 17:48:54","SM타운","room-미닝봇","[결과] 복권 결과: 실패 / 선택:sheep / 잔액:250,000원"
"2026-07-16 17:49:07","SM타운","room-미닝봇","/전리품"
"2026-07-16 17:49:08","SM타운","room-미닝봇","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:750,000원"
"2026-07-16 17:49:14","SM타운","room-미닝봇","/농사"
"2026-07-16 17:49:54","SM타운","room-미닝봇","/농사"
"2026-07-16 17:50:05","SM타운","room-미닝봇","/가위바위보 배팅액:10000"
"2026-07-16 17:50:08","SM타운","room-미닝봇","[버튼 클릭] customId:rps_rock_10000"
"2026-07-16 17:50:08","SM타운","room-미닝봇","[결과] 가위바위보 결과: lose / 선택:✊ / 봇:✋ / 배팅:10,000원 / 변동:30,000원 / 잔액:715,494원"
"2026-07-16 17:50:17","SM타운","room-미닝봇","/가위바위보 배팅액:10000"
"2026-07-16 17:50:19","SM타운","room-미닝봇","[버튼 클릭] customId:rps_rock_10000"
"2026-07-16 17:50:19","SM타운","room-미닝봇","[결과] 가위바위보 결과: win / 선택:✊ / 봇:✌️ / 배팅:10,000원 / 변동:30,000원 / 잔액:745,494원"
"2026-07-16 17:50:24","SM타운","room-미닝봇","/농사"
"2026-07-16 17:50:30","SM타운","room-미닝봇","/작물시세"
"2026-07-16 17:50:44","SM타운","room-미닝봇","/작물개수"
"2026-07-16 17:50:54","SM타운","room-미닝봇","/농사"
