"시간","서버","채널","사용내용"
"2026-05-13 13:36:18","미닝 서포트서버","💙5채널","/농사"
"2026-05-13 13:36:20","미닝 서포트서버","💙5채널","/출석체크"
"2026-05-13 13:36:24","미닝 서포트서버","💙5채널","/전리품"
"2026-05-13 13:36:24","미닝 서포트서버","💙5채널","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:3,672,315원"
"2026-05-13 13:36:27","미닝 서포트서버","💙5채널","/쿠폰사용"
"2026-05-13 13:36:31","미닝 서포트서버","💙5채널","[모달 제출] customId:coupon_use_modal"
"2026-05-13 13:36:35","미닝 서포트서버","💙5채널","/상점"
"2026-05-13 13:36:44","미닝 서포트서버","💙5채널","/작물판매 작물:apple 개수:1"
"2026-05-13 13:36:48","미닝 서포트서버","💙5채널","[선택 메뉴] customId:shop_select 값:questionBox"
"2026-05-13 13:36:54","미닝 서포트서버","💙5채널","[선택 메뉴] customId:shop_select 값:questionBox"
"2026-05-13 13:36:58","미닝 서포트서버","💙5채널","/정보"
"2026-05-13 13:37:11","미닝 서포트서버","💙5채널","/가방"
"2026-05-13 13:37:15","미닝 서포트서버","💙5채널","[선택 메뉴] customId:bag_select 값:questionBox"
"2026-05-13 13:37:17","미닝 서포트서버","💙5채널","[버튼 클릭] customId:open_questionBox"
"2026-05-13 13:37:22","미닝 서포트서버","💙5채널","/가방"
"2026-05-13 13:37:25","미닝 서포트서버","💙5채널","[선택 메뉴] customId:bag_select 값:questionBox"
"2026-05-13 13:37:27","미닝 서포트서버","💙5채널","[버튼 클릭] customId:open_questionBox"
"2026-05-13 13:37:33","미닝 서포트서버","💙5채널","/통장잔고"
"2026-05-13 13:37:40","미닝 서포트서버","💙5채널","/낚시 금액:26252128"
"2026-05-13 13:37:40","미닝 서포트서버","💙5채널","[결과] 낚시 결과: **낚시 성공** / 배팅:26,252,128원 / 변동:26,252,128원 / 잔액:52,504,256원"
"2026-05-13 13:37:52","미닝 서포트서버","💙5채널","/낚시 금액:52504256"
"2026-05-13 13:37:52","미닝 서포트서버","💙5채널","[결과] 낚시 결과: **낚시 실패** / 배팅:52,504,256원 / 변동:-367,529,792원 / 잔액:-315,025,536원"
"2026-05-13 13:37:57","미닝 서포트서버","💙5채널","/파산신청"
"2026-05-15 00:32:44","DM","unknown","/출석체크"
"2026-05-15 00:33:27","DM","unknown","/출석체크"
"2026-05-15 00:33:32","DM","unknown","/농사"
"2026-05-15 00:33:37","DM","unknown","/파산신청"
"2026-05-15 02:20:29","DM","unknown","/파산신청"
"2026-05-15 02:21:01","DM","unknown","/농사"
"2026-05-16 01:16:14","미닝 서포트서버","💙5채널","/출석체크"
"2026-05-16 01:16:17","미닝 서포트서버","💙5채널","/농사"
"2026-05-16 01:16:17","미닝 서포트서버","💙5채널","/파산신청"
"2026-05-18 10:48:55","DM","unknown","/농사"
"2026-05-18 10:49:00","DM","unknown","/출석체크"
"2026-05-18 10:49:11","DM","unknown","/정보"
"2026-05-18 10:49:14","DM","unknown","/전리품"
"2026-05-18 10:49:14","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:2,010,000원"
"2026-05-18 10:53:57","DM","unknown","/정보"
"2026-05-18 10:54:16","DM","unknown","/순위 무기:undefined"
"2026-05-19 02:59:59","DM","unknown","/출석체크"
"2026-05-19 19:07:18","DM","unknown","/농사"
"2026-05-19 19:38:37","DM","unknown","/농사"
"2026-05-19 19:38:41","DM","unknown","/전리품"
"2026-05-19 19:38:42","DM","unknown","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:2,516,595원"
"2026-05-19 19:42:06","DM","unknown","/파산신청"
"2026-05-19 19:42:12","DM","unknown","/농사"
"2026-05-20 03:22:19","DM","unknown","/출석체크"
"2026-05-20 03:22:24","DM","unknown","/전리품"
"2026-05-20 03:22:25","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:4,826,595원"
"2026-05-21 00:40:06","DM","unknown","/출석체크"
"2026-05-21 00:40:15","DM","unknown","/농사"
"2026-05-21 00:40:20","DM","unknown","/전리품"
"2026-05-21 00:40:21","DM","unknown","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:5,335,119원"
"2026-05-21 00:41:12","DM","unknown","/농사"
"2026-05-21 00:42:50","DM","unknown","/쿠폰사용"
"2026-05-21 00:42:54","DM","unknown","[모달 제출] customId:coupon_use_modal"
"2026-05-21 00:44:22","DM","unknown","/농사"
"2026-05-22 01:23:31","DM","unknown","/출석체크"
"2026-05-22 01:23:33","DM","unknown","/농사"
"2026-05-22 01:23:35","DM","unknown","/전리품"
"2026-05-22 01:23:36","DM","unknown","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:11,393,873원"
"2026-05-22 01:23:57","DM","unknown","/상점"
"2026-05-22 01:24:28","DM","unknown","/농사"
"2026-05-22 01:24:35","DM","unknown","/쿠폰사용"
"2026-05-22 01:24:47","DM","unknown","[모달 제출] customId:coupon_use_modal"
"2026-05-23 00:55:42","DM","unknown","/출석체크"
"2026-05-23 00:55:45","DM","unknown","/농사"
"2026-05-23 00:56:00","DM","unknown","/전리품"
"2026-05-23 00:56:01","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:13,402,021원"
"2026-05-23 01:14:54","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","♠️ㅣ🆁🅾🅾🅼-2","/농사"
"2026-05-23 02:11:36","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/농사"
"2026-05-23 02:11:52","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/전리품"
"2026-05-23 02:13:20","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/농사"
"2026-05-23 02:15:20","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/농사"
"2026-05-23 02:16:21","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/농사"
"2026-05-23 02:17:30","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/농사"
"2026-05-23 02:17:34","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/농사"
"2026-05-23 02:18:58","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/농사"
"2026-05-23 02:19:24","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/정보"
"2026-05-23 02:43:13","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/정보"
"2026-05-23 02:43:29","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/작물구매 작물:strawberry 개수:218"
"2026-05-23 02:43:41","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/작물구매 작물:strawberry 개수:208"
"2026-05-23 02:43:45","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/낚시 금액:9733615"
"2026-05-23 02:43:45","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","[결과] 낚시 결과: **낚시 실패** / 배팅:9,733,615원 / 변동:-29,200,845원 / 잔액:-19,467,230원"
"2026-05-23 02:43:51","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/파산신청"
"2026-05-23 02:51:31","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/농사"
"2026-05-23 02:52:46","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/농사"
"2026-05-23 02:53:27","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/농사"
"2026-05-23 02:55:48","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/농사"
"2026-05-23 02:56:51","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/농사"
"2026-05-23 03:02:31","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/농사"
"2026-05-24 01:08:56","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/출석체크"
"2026-05-24 01:09:02","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/전리품"
"2026-05-24 01:09:03","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","[결과] 전리품 결과: 상급 / 획득:5,000,000원 / 잔액:5,010,000원"
"2026-05-24 01:09:23","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/농사"
"2026-05-24 01:12:22","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/전리품"
"2026-05-24 01:12:36","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/농사"
"2026-05-24 01:13:46","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/농사"
"2026-05-25 01:36:40","✦. ⊹ ˚ .꒰ 𝒫𝓁𝒶𝓎 𝒱𝒾𝓁𝓁𝒶𝑔𝑒 ꒱ ‧₊˚⊹. ✦","🃏ㅣ🆁🅾🅾🅼-5","/출석체크"
