"시간","서버","채널","사용내용"
"2026-07-09 08:31:19","듀콩","일반","/송금 유저:1460175698135224462 금액:100000"
"2026-07-09 08:31:37","듀콩","일반","/가입"
"2026-07-09 08:32:54","듀콩","1️⃣","/가입"
"2026-07-16 17:40:52","듀콩","3️⃣","/로또 금액:50000"
"2026-07-16 17:40:52","듀콩","3️⃣","[결과] 로또 결과: **1등 당첨** / 배팅:50,000원 / 변동:250,000원 / 잔액:300,000원"
"2026-07-16 17:41:04","듀콩","3️⃣","/가위바위보 배팅액:300000"
"2026-07-16 17:41:06","듀콩","3️⃣","[버튼 클릭] customId:rps_rock_300000"
"2026-07-16 17:41:06","듀콩","3️⃣","[결과] 가위바위보 결과: draw / 선택:✊ / 봇:✊ / 배팅:300,000원 / 변동:0원 / 잔액:300,000원"
"2026-07-16 17:52:48","듀콩","3️⃣","/가위바위보 배팅액:300000"
"2026-07-16 17:52:49","듀콩","3️⃣","[버튼 클릭] customId:rps_scissors_300000"
"2026-07-16 17:52:49","듀콩","3️⃣","[결과] 가위바위보 결과: draw / 선택:✌️ / 봇:✌️ / 배팅:300,000원 / 변동:0원 / 잔액:300,000원"
"2026-07-16 17:52:56","듀콩","3️⃣","/가위바위보 배팅액:300000"
"2026-07-16 17:52:58","듀콩","3️⃣","[버튼 클릭] customId:rps_scissors_300000"
"2026-07-16 17:52:58","듀콩","3️⃣","[결과] 가위바위보 결과: win / 선택:✌️ / 봇:✋ / 배팅:300,000원 / 변동:900,000원 / 잔액:1,200,000원"
