"시간","서버","채널","사용내용"
"2026-05-23 13:53:25","DM","unknown","/농사"
"2026-05-23 13:53:31","DM","unknown","/가입"
"2026-05-23 13:53:40","DM","unknown","/농사"
"2026-05-23 13:53:57","DM","unknown","/강화"
"2026-05-23 13:54:01","DM","unknown","[버튼 클릭] customId:upgrade_1779512037899"
"2026-05-23 13:54:03","DM","unknown","[버튼 클릭] customId:upgrade_1779512042079"
"2026-05-23 13:54:06","DM","unknown","[버튼 클릭] customId:upgrade_1779512044330"
"2026-05-23 13:54:07","DM","unknown","[버튼 클릭] customId:upgrade_1779512046385"
"2026-05-23 13:54:11","DM","unknown","[버튼 클릭] customId:upgrade_1779512048224"
"2026-05-23 13:54:13","DM","unknown","[버튼 클릭] customId:upgrade_1779512051698"
"2026-05-23 13:54:18","DM","unknown","[버튼 클릭] customId:upgrade_1779512053855"
"2026-05-23 13:54:20","DM","unknown","[버튼 클릭] customId:upgrade_1779512058663"
"2026-05-23 13:54:27","DM","unknown","/농사"
"2026-05-23 13:54:31","DM","unknown","/농사"
"2026-05-23 13:55:05","DM","unknown","/공격"
"2026-05-23 13:55:14","DM","unknown","/공격"
"2026-05-23 13:55:21","DM","unknown","/가위바위보 배팅액:1000"
"2026-05-23 13:55:24","DM","unknown","[버튼 클릭] customId:rps_rock_1000"
"2026-05-23 13:55:24","DM","unknown","[결과] 가위바위보 결과: win / 선택:✊ / 봇:✌️ / 배팅:1,000원 / 변동:3,000원 / 잔액:9,600원"
"2026-05-23 13:55:33","DM","unknown","/가위바위보 배팅액:1000"
"2026-05-23 13:55:34","DM","unknown","[버튼 클릭] customId:rps_rock_1000"
"2026-05-23 13:55:34","DM","unknown","[결과] 가위바위보 결과: draw / 선택:✊ / 봇:✊ / 배팅:1,000원 / 변동:0원 / 잔액:9,600원"
"2026-05-23 14:06:20","DM","unknown","/가위바위보 배팅액:1000"
"2026-05-23 14:06:21","DM","unknown","[버튼 클릭] customId:rps_rock_1000"
"2026-05-23 14:06:21","DM","unknown","[결과] 가위바위보 결과: lose / 선택:✊ / 봇:✋ / 배팅:1,000원 / 변동:3,000원 / 잔액:6,600원"
"2026-05-23 14:06:39","DM","unknown","/가위바위보 배팅액:6600"
"2026-05-23 14:06:40","DM","unknown","[버튼 클릭] customId:rps_scissors_6600"
"2026-05-23 14:06:40","DM","unknown","[결과] 가위바위보 결과: lose / 선택:✌️ / 봇:✊ / 배팅:6,600원 / 변동:19,800원 / 잔액:-13,200원"
"2026-05-23 14:07:17","DM","unknown","/복권"
"2026-05-23 14:07:20","DM","unknown","[버튼 클릭] customId:lotto_sheep"
"2026-05-23 14:07:20","DM","unknown","[결과] 복권 결과: 성공 / 선택:sheep / 보상:110,769원 / 잔액:97,569원"
"2026-05-23 14:07:41","DM","unknown","/탐험"
"2026-05-23 14:07:46","DM","unknown","/카페"
"2026-05-23 14:07:49","DM","unknown","/농사"
"2026-05-23 14:08:02","DM","unknown","/낚시 금액:1000"
"2026-05-23 14:08:12","DM","unknown","/낚시 금액:90000"
"2026-05-23 14:08:12","DM","unknown","[결과] 낚시 결과: **낚시 성공** / 배팅:90,000원 / 변동:360,000원 / 잔액:457,569원"
"2026-05-23 14:08:23","DM","unknown","/낚시 금액:2000"
"2026-05-23 14:08:28","DM","unknown","/낚시 금액:40000"
"2026-05-23 14:08:28","DM","unknown","[결과] 낚시 결과: **낚시 실패** / 배팅:40,000원 / 변동:-40,000원 / 잔액:417,569원"
"2026-05-23 14:08:36","DM","unknown","/낚시 금액:4000"
"2026-05-23 14:08:46","DM","unknown","/낚시 금액:40000"
