"시간","서버","채널","사용내용"
"2026-06-23 14:46:12","SM타운","room-미닝봇","/가입"
"2026-06-23 14:46:50","SM타운","room-미닝봇","/경험치"
"2026-06-23 14:46:52","SM타운","room-미닝봇","[버튼 클릭] customId:heart_exp_reward"
"2026-06-23 14:47:09","SM타운","room-미닝봇","[버튼 클릭] customId:heart_exp_reward"
"2026-06-23 15:10:20","SM타운","room-미닝봇","/농사"
"2026-06-23 15:10:33","SM타운","room-미닝봇","/가방"
"2026-06-23 15:11:02","SM타운","room-미닝봇","/작물시세"
"2026-06-23 15:11:12","SM타운","room-미닝봇","/농사"
"2026-06-23 15:11:26","SM타운","room-미닝봇","/농사"
"2026-06-23 15:11:53","SM타운","room-미닝봇","/펫상점"
"2026-06-23 15:12:10","SM타운","room-미닝봇","/농사"
"2026-06-23 15:12:30","SM타운","room-미닝봇","/출석체크"
"2026-06-23 15:12:59","SM타운","room-미닝봇","/농사"
"2026-06-23 15:44:41","SM타운","room-미닝봇","/농사"
"2026-06-23 15:59:22","SM타운","room-미닝봇","/농사"
"2026-06-23 16:18:48","SM타운","room-미닝봇","/탐험"
"2026-06-23 16:18:53","SM타운","room-미닝봇","/농사"
"2026-06-23 16:22:42","SM타운","room-미닝봇","/농사"
"2026-06-23 16:22:50","SM타운","room-미닝봇","/작물시세"
"2026-06-23 16:23:39","SM타운","room-미닝봇","/농사"
"2026-06-23 16:31:28","SM타운","room-미닝봇","/농사"
"2026-06-23 18:11:14","SM타운","room-미닝봇","/농사"
"2026-06-23 18:27:53","SM타운","room-미닝봇","/농사"
"2026-06-23 19:12:18","SM타운","room-미닝봇","/농사"
"2026-06-23 19:24:22","SM타운","room-미닝봇","/농사"
"2026-06-24 01:13:38","SM타운","room-이프","/농사"
"2026-06-24 01:13:44","SM타운","room-이프","/출석체크"
"2026-06-24 01:14:01","SM타운","room-이프","/작물시세"
"2026-06-24 13:10:21","SM타운","room-미닝봇","/전리품"
"2026-06-24 13:10:23","SM타운","room-미닝봇","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:560,691원"
"2026-06-24 13:24:47","SM타운","room-미닝봇","/복권"
"2026-06-24 13:24:49","SM타운","room-미닝봇","[버튼 클릭] customId:lotto_sheep"
"2026-06-24 13:24:50","SM타운","room-미닝봇","[결과] 복권 결과: 성공 / 선택:sheep / 보상:152,066원 / 잔액:712,757원"
"2026-06-24 13:24:57","SM타운","room-미닝봇","/농사"
"2026-06-24 13:36:46","SM타운","room-미닝봇","/농사"
"2026-06-24 13:46:27","SM타운","room-미닝봇","/농사"
"2026-06-24 14:47:22","SM타운","room-미닝봇","/농사"
"2026-06-24 15:12:56","SM타운","room-미닝봇","/농사"
"2026-06-24 15:38:11","SM타운","room-미닝봇","/농사"
"2026-06-24 15:39:59","SM타운","room-미닝봇","/농사"
"2026-06-24 16:54:01","SM타운","room-미닝봇","/전리품"
"2026-06-24 16:54:01","SM타운","room-미닝봇","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:1,210,505원"
"2026-06-24 17:22:57","SM타운","room-미닝봇","/농사"
"2026-06-24 17:43:20","SM타운","room-미닝봇","/전리품"
"2026-06-24 17:43:32","SM타운","room-미닝봇","/복권"
"2026-06-24 17:43:34","SM타운","room-미닝봇","[버튼 클릭] customId:lotto_wolf"
"2026-06-24 17:43:34","SM타운","room-미닝봇","[결과] 복권 결과: 성공 / 선택:wolf / 보상:127,165원 / 잔액:1,337,670원"
"2026-06-25 00:30:42","SM타운","room-미닝봇","/농사"
"2026-06-25 00:37:30","SM타운","room-미닝봇","/전리품"
"2026-06-25 00:37:31","SM타운","room-미닝봇","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:3,337,670원"
"2026-06-25 00:37:37","SM타운","room-미닝봇","/복권"
"2026-06-25 00:37:39","SM타운","room-미닝봇","[버튼 클릭] customId:lotto_sheep"
"2026-06-25 00:37:39","SM타운","room-미닝봇","[결과] 복권 결과: 실패 / 선택:sheep / 잔액:3,337,670원"
"2026-06-25 13:17:04","SM타운","room-미닝봇","/전리품"
"2026-06-25 13:17:04","SM타운","room-미닝봇","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:5,337,670원"
"2026-06-25 13:17:12","SM타운","room-미닝봇","/복권"
"2026-06-25 13:17:14","SM타운","room-미닝봇","[버튼 클릭] customId:lotto_sheep"
"2026-06-25 13:17:14","SM타운","room-미닝봇","[결과] 복권 결과: 성공 / 선택:sheep / 보상:190,512원 / 잔액:5,528,182원"
"2026-06-25 14:05:24","SM타운","room-미닝봇","/전리품"
"2026-06-25 14:05:28","SM타운","room-미닝봇","/복권"
"2026-06-25 15:48:16","SM타운","room-미닝봇","/전리품"
"2026-06-25 15:48:21","SM타운","room-미닝봇","/복권"
"2026-06-25 15:48:24","SM타운","room-미닝봇","[버튼 클릭] customId:lotto_sheep"
"2026-06-25 15:48:24","SM타운","room-미닝봇","[결과] 복권 결과: 성공 / 선택:sheep / 보상:187,415원 / 잔액:5,715,597원"
"2026-06-25 17:27:33","SM타운","room-미닝봇","/전리품"
"2026-06-25 17:27:34","SM타운","room-미닝봇","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:7,715,597원"
"2026-06-25 17:27:39","SM타운","room-미닝봇","/복권"
"2026-06-25 17:27:41","SM타운","room-미닝봇","[버튼 클릭] customId:lotto_sheep"
"2026-06-25 17:27:41","SM타운","room-미닝봇","[결과] 복권 결과: 실패 / 선택:sheep / 잔액:7,715,597원"
"2026-06-25 19:12:27","SM타운","room-미닝봇","/전리품"
"2026-06-25 19:12:32","SM타운","room-미닝봇","/복권"
"2026-06-25 19:12:35","SM타운","room-미닝봇","[버튼 클릭] customId:lotto_sheep"
"2026-06-25 19:12:35","SM타운","room-미닝봇","[결과] 복권 결과: 실패 / 선택:sheep / 잔액:7,715,597원"
"2026-06-25 21:10:51","SM타운","room-미닝봇","/전리품"
"2026-06-25 21:10:52","SM타운","room-미닝봇","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:8,215,597원"
"2026-06-25 21:10:57","SM타운","room-미닝봇","/복권"
"2026-06-25 21:10:58","SM타운","room-미닝봇","[버튼 클릭] customId:lotto_sheep"
"2026-06-25 21:10:58","SM타운","room-미닝봇","[결과] 복권 결과: 성공 / 선택:sheep / 보상:187,362원 / 잔액:8,402,959원"
"2026-06-25 23:01:50","SM타운","room-미닝봇","/복권"
"2026-06-25 23:01:54","SM타운","room-미닝봇","[버튼 클릭] customId:lotto_sheep"
"2026-06-25 23:01:54","SM타운","room-미닝봇","[결과] 복권 결과: 성공 / 선택:sheep / 보상:163,326원 / 잔액:8,566,285원"
"2026-06-26 01:00:04","SM타운","room-미닝봇","/전리품"
"2026-06-26 01:00:05","SM타운","room-미닝봇","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:9,066,285원"
"2026-06-26 01:00:09","SM타운","room-미닝봇","/복권"
"2026-06-26 01:00:11","SM타운","room-미닝봇","[버튼 클릭] customId:lotto_sheep"
"2026-06-26 01:00:11","SM타운","room-미닝봇","[결과] 복권 결과: 성공 / 선택:sheep / 보상:108,983원 / 잔액:9,175,268원"
"2026-06-26 01:00:18","SM타운","room-미닝봇","/농사"
"2026-06-26 12:41:49","SM타운","room-미닝봇","/전리품"
"2026-06-26 12:41:50","SM타운","room-미닝봇","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:11,175,268원"
"2026-06-26 12:42:01","SM타운","room-미닝봇","/복권"
"2026-06-26 12:42:04","SM타운","room-미닝봇","[버튼 클릭] customId:lotto_sheep"
"2026-06-26 12:42:05","SM타운","room-미닝봇","[결과] 복권 결과: 성공 / 선택:sheep / 보상:133,427원 / 잔액:11,308,695원"
"2026-06-26 12:42:11","SM타운","room-미닝봇","/농사"
"2026-06-26 16:01:33","SM타운","room-미닝봇","/전리품"
"2026-06-26 16:01:33","SM타운","room-미닝봇","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:13,308,695원"
"2026-06-26 16:01:38","SM타운","room-미닝봇","/복권"
"2026-06-26 16:01:39","SM타운","room-미닝봇","[버튼 클릭] customId:lotto_sheep"
"2026-06-26 16:01:39","SM타운","room-미닝봇","[결과] 복권 결과: 성공 / 선택:sheep / 보상:114,257원 / 잔액:13,422,952원"
"2026-06-26 17:40:03","SM타운","room-미닝봇","/전리품"
"2026-06-26 17:40:09","SM타운","room-미닝봇","/복권"
"2026-06-26 17:40:11","SM타운","room-미닝봇","[버튼 클릭] customId:lotto_sheep"
"2026-06-26 17:40:11","SM타운","room-미닝봇","[결과] 복권 결과: 실패 / 선택:sheep / 잔액:13,422,952원"
"2026-06-27 00:08:05","SM타운","room-미닝봇","/전리품"
"2026-06-27 00:08:09","SM타운","room-미닝봇","/복권"
"2026-06-27 00:18:41","SM타운","room-미닝봇","/전리품"
"2026-06-27 00:18:42","SM타운","room-미닝봇","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:15,422,952원"
"2026-06-27 00:18:46","SM타운","room-미닝봇","/복권"
"2026-06-27 00:18:49","SM타운","room-미닝봇","[버튼 클릭] customId:lotto_sheep"
"2026-06-27 00:18:49","SM타운","room-미닝봇","[결과] 복권 결과: 실패 / 선택:sheep / 잔액:15,422,952원"
"2026-06-27 01:25:28","SM타운","room-미닝봇","/전리품"
"2026-06-27 01:25:33","SM타운","room-미닝봇","/복권"
"2026-06-27 01:25:35","SM타운","room-미닝봇","[버튼 클릭] customId:lotto_sheep"
"2026-06-27 01:25:35","SM타운","room-미닝봇","[결과] 복권 결과: 실패 / 선택:sheep / 잔액:15,422,952원"
"2026-06-27 01:41:57","SM타운","room-미닝봇","/전리품"
"2026-06-27 01:42:02","SM타운","room-미닝봇","/복권"
"2026-06-27 13:01:50","SM타운","room-미닝봇","/전리품"
"2026-06-27 13:01:50","SM타운","room-미닝봇","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:17,422,952원"
"2026-06-27 13:01:56","SM타운","room-미닝봇","/복권"
"2026-06-27 13:02:01","SM타운","room-미닝봇","[버튼 클릭] customId:lotto_sheep"
