"시간","서버","채널","사용내용"
"2026-07-16 15:46:56","BR1UH","rpg","/가입"
"2026-07-16 15:47:08","BR1UH","rpg","/낚시 금액:5000"
"2026-07-16 15:47:26","BR1UH","rpg","/농사"
"2026-07-16 15:48:37","BR1UH","rpg","/로또 금액:10000"
"2026-07-16 15:48:37","BR1UH","rpg","[결과] 로또 결과: **낙첨** / 배팅:10,000원 / 변동:-10,000원 / 잔액:40,000원"
"2026-07-16 15:48:50","BR1UH","rpg","/배그 금액:5000"
"2026-07-16 15:48:51","BR1UH","rpg","[결과] 배그 결과: 골드 / 배팅:5,000원 / 변동:5,000원 / 잔액:45,000원"
"2026-07-16 15:49:31","BR1UH","rpg","/낚시 금액:45000"
"2026-07-16 15:49:31","BR1UH","rpg","[결과] 낚시 결과: **낚시 성공** / 배팅:45,000원 / 변동:90,000원 / 잔액:135,000원"
"2026-07-16 15:50:06","BR1UH","rpg","/낚시 금액:100000"
"2026-07-16 15:50:06","BR1UH","rpg","[결과] 낚시 결과: **낚시 실패** / 배팅:100,000원 / 변동:-200,000원 / 잔액:-65,000원"
"2026-07-16 18:49:13","BR1UH","도박","/가입"
"2026-07-16 18:49:37","BR1UH","도박","/탈퇴"
"2026-07-16 18:49:53","BR1UH","도박","/돈지급 유저:1288988111682011228 금액:1000"
"2026-07-16 18:50:07","BR1UH","도박","/돈초기화 유저:1288988111682011228"
"2026-07-16 18:50:18","BR1UH","도박","/농사"
"2026-07-16 18:50:35","BR1UH","도박","/작물판매 작물:peach 개수:2"
