"시간","서버","채널","사용내용"
"2026-05-13 06:10:14","칼부림🔪","..","/배그 금액:1000"
"2026-05-13 06:10:15","칼부림🔪","..","[결과] 배그 결과: 골드 / 배팅:1,000원 / 변동:1,000원 / 잔액:1,726,193원"
"2026-05-13 06:10:45","칼부림🔪","..","/가위바위보 배팅액:1000"
"2026-05-13 06:10:47","칼부림🔪","..","[버튼 클릭] customId:rps_paper_1000"
"2026-05-13 06:10:47","칼부림🔪","..","[결과] 가위바위보 결과: draw / 선택:✋ / 봇:✋ / 배팅:1,000원 / 변동:0원 / 잔액:1,729,193원"
"2026-05-13 06:12:10","칼부림🔪","..","/가위바위보 배팅액:1000"
"2026-05-13 06:12:12","칼부림🔪","..","[버튼 클릭] customId:rps_scissors_1000"
"2026-05-13 06:12:12","칼부림🔪","..","[결과] 가위바위보 결과: lose / 선택:✌️ / 봇:✊ / 배팅:1,000원 / 변동:3,000원 / 잔액:1,726,193원"
