"시간","서버","채널","사용내용"
"2026-07-11 13:50:01","TRPG - 미토피아 -","일반","/경험치지급 유저:1520734637561872504 종류:farm 수량:999999999999999"
"2026-07-11 13:50:42","[미니게임? TRPG?]- 성장형-","일반","/가입"
"2026-07-11 13:50:54","[미니게임? TRPG?]- 성장형-","일반","/경험치지급 유저:1520734637561872504 종류:farm 수량:999999999999"
"2026-07-11 13:51:04","[미니게임? TRPG?]- 성장형-","일반","/가방확인 유저:1520734637561872504"
"2026-07-11 13:51:46","[미니게임? TRPG?]- 성장형-","일반","/경험치지급 유저:1520734637561872504 종류:farm 수량:999999999999"
"2026-07-11 13:52:58","[미니게임? TRPG?]- 성장형-","일반","/아이템지급 유저:1520734637561872504 아이템:repairStone 수량:30"
