"시간","서버","채널","사용내용"
"2026-05-13 19:48:42","DM","unknown","/출석체크"
"2026-05-13 19:50:46","DM","unknown","/전리품"
"2026-05-13 19:50:46","DM","unknown","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:2,031,407원"
"2026-05-13 20:02:03","DM","unknown","/농사"
"2026-05-13 20:13:06","DM","unknown","/농사"
"2026-05-13 20:17:52","DM","unknown","/농사"
"2026-05-13 20:28:51","DM","unknown","/농사"
"2026-05-13 23:11:46","DM","unknown","/전리품"
"2026-05-13 23:11:47","DM","unknown","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:2,528,309원"
"2026-05-14 21:31:43","DM","unknown","/전리품"
"2026-05-14 21:31:44","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:4,528,309원"
"2026-05-14 21:42:31","DM","unknown","/전리품"
"2026-05-14 22:23:01","DM","unknown","/출석체크"
"2026-05-15 20:37:07","DM","unknown","/전리품"
"2026-05-15 20:37:08","DM","unknown","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:5,038,309원"
"2026-05-15 20:42:46","DM","unknown","/전리품"
"2026-05-15 20:46:36","DM","unknown","/출석체크"
"2026-05-15 20:56:21","DM","unknown","/농사"
"2026-05-15 20:58:26","DM","unknown","/농사"
"2026-05-15 21:03:47","DM","unknown","/농사"
"2026-05-15 21:08:40","DM","unknown","/농사"
"2026-05-15 21:12:09","DM","unknown","/농사"
"2026-05-15 21:13:44","DM","unknown","/농사"
"2026-05-15 21:16:09","DM","unknown","/농사"
"2026-05-15 21:16:56","DM","unknown","/농사"
"2026-05-15 21:19:11","DM","unknown","/농사"
"2026-05-15 21:20:39","DM","unknown","/농사"
"2026-05-15 21:22:03","DM","unknown","/농사"
"2026-05-15 21:23:12","DM","unknown","/농사"
"2026-05-15 21:23:59","DM","unknown","/농사"
"2026-05-15 21:25:36","DM","unknown","/농사"
"2026-05-15 21:27:24","DM","unknown","/농사"
"2026-05-15 21:29:05","DM","unknown","/농사"
"2026-05-16 14:09:32","DM","unknown","/전리품"
"2026-05-16 14:09:33","DM","unknown","[결과] 전리품 결과: 상급 / 획득:5,000,000원 / 잔액:10,032,903원"
"2026-05-16 14:12:43","DM","unknown","/출석체크"
"2026-05-16 14:13:35","DM","unknown","/전리품"
"2026-05-16 15:00:50","DM","unknown","/쿠폰사용"
"2026-05-16 15:01:04","DM","unknown","[모달 제출] customId:coupon_use_modal"
"2026-05-16 15:02:37","DM","unknown","/쿠폰사용"
"2026-05-16 15:02:45","DM","unknown","[모달 제출] customId:coupon_use_modal"
"2026-05-16 15:12:02","DM","unknown","/농사"
"2026-05-16 15:15:00","DM","unknown","/농사"
"2026-05-16 15:16:39","DM","unknown","/농사"
"2026-05-16 15:26:37","DM","unknown","/농사"
"2026-05-16 15:28:00","DM","unknown","/농사"
"2026-05-16 15:39:47","DM","unknown","/농사"
"2026-05-16 16:00:12","DM","unknown","/농사"
"2026-05-17 01:36:38","DM","unknown","/전리품"
"2026-05-17 01:36:38","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:12,039,402원"
"2026-05-17 12:11:44","DM","unknown","/출석체크"
"2026-05-17 12:26:18","DM","unknown","/전리품"
"2026-05-17 12:26:18","DM","unknown","[결과] 전리품 결과: 상급 / 획득:5,000,000원 / 잔액:17,049,402원"
"2026-05-17 12:28:36","DM","unknown","/농사"
"2026-05-17 12:29:58","DM","unknown","/농사"
"2026-05-17 12:31:34","DM","unknown","/농사"
"2026-05-17 12:33:10","DM","unknown","/농사"
"2026-05-17 12:35:00","DM","unknown","/농사"
"2026-05-17 12:38:16","DM","unknown","/농사"
"2026-05-17 13:01:59","DM","unknown","/농사"
"2026-05-17 13:04:00","DM","unknown","/농사"
"2026-05-17 13:19:43","DM","unknown","/농사"
"2026-05-17 13:49:56","DM","unknown","/농사"
"2026-05-17 13:55:31","DM","unknown","/농사"
"2026-05-17 14:14:07","DM","unknown","/농사"
"2026-05-17 15:00:45","DM","unknown","/농사"
"2026-05-17 15:53:37","DM","unknown","/전리품"
"2026-05-17 15:53:37","DM","unknown","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:17,549,402원"
"2026-05-17 19:54:00","DM","unknown","/전리품"
"2026-05-17 19:54:00","DM","unknown","[결과] 전리품 결과: 상급 / 획득:5,000,000원 / 잔액:22,549,402원"
"2026-05-19 20:33:44","DM","unknown","/출석체크"
"2026-05-19 20:44:17","DM","unknown","/전리품"
"2026-05-19 20:44:18","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:24,559,402원"
"2026-05-20 21:26:09","DM","unknown","/전리품"
"2026-05-20 21:26:10","DM","unknown","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:25,059,402원"
"2026-05-21 21:34:28","DM","unknown","/전리품"
"2026-05-21 21:34:28","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:27,059,402원"
"2026-05-22 23:23:55","DM","unknown","/전리품"
"2026-05-22 23:23:56","DM","unknown","[결과] 전리품 결과: 상급 / 획득:5,000,000원 / 잔액:32,059,402원"
"2026-05-23 11:18:56","DM","unknown","/전리품"
"2026-05-23 11:18:56","DM","unknown","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:32,559,402원"
"2026-05-24 12:33:22","DM","unknown","/전리품"
"2026-05-24 12:33:23","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:34,559,402원"
"2026-05-24 16:14:03","DM","unknown","/전리품"
"2026-05-24 16:14:04","DM","unknown","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:35,059,402원"
"2026-05-24 23:43:57","DM","unknown","/전리품"
"2026-05-24 23:43:57","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:37,059,402원"
"2026-05-25 00:41:16","전설의 시작","일반","/낚시 금액:50000"
"2026-05-25 00:41:16","전설의 시작","일반","[결과] 낚시 결과: **낚시 실패** / 배팅:50,000원 / 변동:-50,000원 / 잔액:37,009,402원"
"2026-05-25 00:41:25","전설의 시작","일반","/낚시 금액:37009402"
"2026-05-25 00:41:25","전설의 시작","일반","[결과] 낚시 결과: **낚시 성공** / 배팅:37,009,402원 / 변동:111,028,206원 / 잔액:148,037,608원"
"2026-05-25 00:41:31","전설의 시작","일반","/낚시 금액:50000"
"2026-05-25 00:41:32","전설의 시작","일반","[결과] 낚시 결과: **낚시 성공** / 배팅:50,000원 / 변동:150,000원 / 잔액:148,187,608원"
"2026-05-25 00:41:35","전설의 시작","일반","/낚시 금액:50000"
"2026-05-25 00:41:35","전설의 시작","일반","[결과] 낚시 결과: **낚시 실패** / 배팅:50,000원 / 변동:-50,000원 / 잔액:148,137,608원"
"2026-05-25 00:41:38","전설의 시작","일반","/낚시 금액:50000"
"2026-05-25 00:41:38","전설의 시작","일반","[결과] 낚시 결과: **낚시 실패** / 배팅:50,000원 / 변동:-50,000원 / 잔액:148,087,608원"
"2026-05-25 00:41:44","전설의 시작","일반","/낚시 금액:148087608"
"2026-05-25 00:41:44","전설의 시작","일반","[결과] 낚시 결과: **낚시 성공** / 배팅:148,087,608원 / 변동:148,087,608원 / 잔액:296,175,216원"
"2026-05-25 00:41:54","전설의 시작","일반","/상점"
"2026-05-25 00:41:58","전설의 시작","일반","[선택 메뉴] customId:shop_select 값:questionBox"
"2026-05-25 00:42:01","전설의 시작","일반","[선택 메뉴] customId:shop_select 값:questionBox"
"2026-05-25 00:42:06","전설의 시작","일반","/가방"
"2026-05-25 00:42:10","전설의 시작","일반","[선택 메뉴] customId:bag_select 값:questionBox"
"2026-05-25 00:42:13","전설의 시작","일반","[선택 메뉴] customId:bag_select 값:mingBundle"
"2026-05-25 00:42:15","전설의 시작","일반","[선택 메뉴] customId:bag_select 값:questionBox"
"2026-05-25 00:42:16","전설의 시작","일반","[버튼 클릭] customId:open_questionBox"
"2026-05-25 00:42:20","전설의 시작","일반","[버튼 클릭] customId:open_mingBundle"
"2026-05-25 00:42:21","전설의 시작","일반","[버튼 클릭] customId:open_questionBox"
"2026-05-25 00:42:24","전설의 시작","일반","/낚시 금액:50000"
"2026-05-25 00:42:25","전설의 시작","일반","[결과] 낚시 결과: **낚시 실패** / 배팅:50,000원 / 변동:-150,000원 / 잔액:291,900,604원"
"2026-05-25 00:42:29","전설의 시작","일반","/낚시 금액:50000"
"2026-05-25 00:42:29","전설의 시작","일반","[결과] 낚시 결과: **낚시 실패** / 배팅:50,000원 / 변동:-50,000원 / 잔액:291,850,604원"
"2026-05-25 00:42:34","전설의 시작","일반","/낚시 금액:50000"
"2026-05-25 00:42:34","전설의 시작","일반","[결과] 낚시 결과: **낚시 실패** / 배팅:50,000원 / 변동:-150,000원 / 잔액:291,700,604원"
"2026-05-25 00:42:39","전설의 시작","일반","/낚시 금액:291700604"
"2026-05-25 00:42:40","전설의 시작","일반","[결과] 낚시 결과: **낚시 실패** / 배팅:291,700,604원 / 변동:-291,700,604원 / 잔액:0원"
"2026-05-26 20:13:05","DM","unknown","/전리품"
"2026-05-26 20:13:05","DM","unknown","[결과] 전리품 결과: 최상급 / 획득:10,000,000원 / 잔액:10,000,000원"
"2026-05-27 20:48:08","DM","unknown","/전리품"
"2026-05-27 20:48:09","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:12,000,000원"
"2026-05-28 20:34:50","DM","unknown","/전리품"
"2026-05-28 20:34:51","DM","unknown","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:12,500,000원"
"2026-05-29 20:22:01","DM","unknown","/전리품"
"2026-05-29 20:22:02","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:14,500,000원"
"2026-05-29 23:45:17","DM","unknown","/전리품"
"2026-05-29 23:45:18","DM","unknown","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:15,000,000원"
"2026-05-30 12:57:42","DM","unknown","/전리품"
"2026-05-30 12:57:43","DM","unknown","[결과] 전리품 결과: 중급 / 획득:2,000,000원 / 잔액:17,000,000원"
