"시간","서버","채널","사용내용"
"2026-06-25 00:21:41","비밀 서버","일반","/쿠폰사용"
"2026-06-25 00:21:46","비밀 서버","일반","/가입"
"2026-06-25 00:21:48","비밀 서버","일반","/쿠폰사용"
"2026-06-25 00:21:54","비밀 서버","일반","[모달 제출] customId:coupon_use_modal"
"2026-06-26 02:59:04","비밀 서버","일반","/가방"
"2026-06-26 10:52:07","비밀 서버","일반","/가방"
"2026-06-26 13:46:15","미닝 서포트서버","송랜쿠 / 수리석 무한매입⭐","/가방"
"2026-06-26 13:46:17","미닝 서포트서버","송랜쿠 / 수리석 무한매입⭐","[선택 메뉴] customId:bag_select 값:repairStone"
"2026-06-26 13:46:22","미닝 서포트서버","송랜쿠 / 수리석 무한매입⭐","[유저 선택] customId:use_repairStone 유저:1498394059616550994"
"2026-07-08 17:05:32","꒰ა 𝓜𝓪𝓶𝓮𝓵 𝓗𝓸𝓽𝓮𝓵 ໒꒱","❥-빈집","/출석체크"
"2026-07-08 17:05:48","꒰ა 𝓜𝓪𝓶𝓮𝓵 𝓗𝓸𝓽𝓮𝓵 ໒꒱","❥-빈집","/농사"
"2026-07-12 15:11:49","꒰ა 𝓜𝓪𝓶𝓮𝓵 𝓗𝓸𝓽𝓮𝓵 ໒꒱","❥-렌고쿠네","/출석체크"
"2026-07-15 13:38:02","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","/출석체크"
"2026-07-15 13:38:21","୨୧ Mamel Hotel ୨୧","❥-렌고쿠룸","/파산신청"
