"시간","서버","채널","사용내용"
"2026-05-28 20:31:41","≽^• ˕ • ྀི≼","도박","[버튼 클릭] customId:rps_paper_1000"
"2026-05-29 10:53:56","≽^• ˕ • ྀི≼","도박","/가입"
"2026-05-29 10:54:02","≽^• ˕ • ྀི≼","도박","/출석체크"
"2026-05-29 10:54:09","≽^• ˕ • ྀི≼","도박","/복권"
"2026-05-29 10:54:14","≽^• ˕ • ྀི≼","도박","[버튼 클릭] customId:lotto_sheep"
"2026-05-29 10:54:14","≽^• ˕ • ྀི≼","도박","[결과] 복권 결과: 실패 / 선택:sheep / 잔액:60,000원"
"2026-05-29 10:54:23","≽^• ˕ • ྀི≼","도박","/전리품"
"2026-05-29 10:54:23","≽^• ˕ • ྀི≼","도박","[결과] 전리품 결과: 하급 / 획득:500,000원 / 잔액:560,000원"
"2026-05-29 10:54:46","≽^• ˕ • ྀི≼","도박","/낚시 금액:50000"
"2026-05-29 10:54:46","≽^• ˕ • ྀི≼","도박","[결과] 낚시 결과: **낚시 성공** / 배팅:50,000원 / 변동:200,000원 / 잔액:760,000원"
"2026-05-29 10:55:09","≽^• ˕ • ྀི≼","도박","/로또 금액:50000"
"2026-05-29 10:55:09","≽^• ˕ • ྀི≼","도박","[결과] 로또 결과: **3등 당첨** / 배팅:50,000원 / 변동:50,000원 / 잔액:810,000원"
"2026-05-29 10:55:26","≽^• ˕ • ྀི≼","도박","/로또 금액:50000"
"2026-05-29 10:55:26","≽^• ˕ • ྀི≼","도박","[결과] 로또 결과: **1등 당첨** / 배팅:50,000원 / 변동:350,000원 / 잔액:1,160,000원"
"2026-05-29 10:55:42","≽^• ˕ • ྀི≼","도박","/로또 금액:40000"
"2026-05-29 10:55:42","≽^• ˕ • ྀི≼","도박","[결과] 로또 결과: **낙첨** / 배팅:40,000원 / 변동:-40,000원 / 잔액:1,120,000원"
"2026-05-29 10:55:53","≽^• ˕ • ྀི≼","도박","/낚시 금액:50000"
"2026-05-29 10:55:53","≽^• ˕ • ྀི≼","도박","[결과] 낚시 결과: **낚시 성공** / 배팅:50,000원 / 변동:150,000원 / 잔액:1,270,000원"
"2026-05-29 10:56:05","≽^• ˕ • ྀི≼","도박","/낚시 금액:50000"
"2026-05-29 10:56:06","≽^• ˕ • ྀི≼","도박","[결과] 낚시 결과: **낚시 성공** / 배팅:50,000원 / 변동:150,000원 / 잔액:1,420,000원"
"2026-05-29 10:56:14","≽^• ˕ • ྀི≼","도박","/탐험"
"2026-05-29 10:56:24","≽^• ˕ • ྀི≼","도박","/카페"
"2026-05-29 10:56:28","≽^• ˕ • ྀི≼","도박","/농사"
"2026-05-29 10:56:36","≽^• ˕ • ྀི≼","도박","/농사"
"2026-05-29 10:56:44","≽^• ˕ • ྀི≼","도박","/낚시 금액:50000"
"2026-05-29 10:56:45","≽^• ˕ • ྀི≼","도박","[결과] 낚시 결과: **낚시 성공** / 배팅:50,000원 / 변동:350,000원 / 잔액:1,770,000원"
"2026-05-29 10:57:09","≽^• ˕ • ྀི≼","도박","/로또 금액:30000"
"2026-05-29 10:57:09","≽^• ˕ • ྀི≼","도박","[결과] 로또 결과: **2등 당첨** / 배팅:30,000원 / 변동:90,000원 / 잔액:1,860,000원"
"2026-05-29 10:57:19","≽^• ˕ • ྀི≼","도박","/로또 금액:50000"
"2026-05-29 10:57:19","≽^• ˕ • ྀི≼","도박","[결과] 로또 결과: **낙첨** / 배팅:50,000원 / 변동:-50,000원 / 잔액:1,810,000원"
