"시간","서버","채널","사용내용"
"2026-06-01 15:43:15","𝐌𝐲 𝐟𝐫𝐢𝐞𝐧𝐝","꒐𝜗𝜚˚⋆⊱﹙🎰﹚미닝이라하옴","/가입"
"2026-06-01 15:48:30","𝐌𝐲 𝐟𝐫𝐢𝐞𝐧𝐝","꒐𝜗𝜚˚⋆⊱﹙🎰﹚미닝이라하옴","/가방"
"2026-06-01 15:48:36","𝐌𝐲 𝐟𝐫𝐢𝐞𝐧𝐝","꒐𝜗𝜚˚⋆⊱﹙🎰﹚미닝이라하옴","/강화"
"2026-06-01 15:48:41","𝐌𝐲 𝐟𝐫𝐢𝐞𝐧𝐝","꒐𝜗𝜚˚⋆⊱﹙🎰﹚미닝이라하옴","[버튼 클릭] customId:upgrade_1780296517033"
"2026-06-01 15:48:45","𝐌𝐲 𝐟𝐫𝐢𝐞𝐧𝐝","꒐𝜗𝜚˚⋆⊱﹙🎰﹚미닝이라하옴","[버튼 클릭] customId:upgrade_1780296522018"
"2026-06-01 15:48:57","𝐌𝐲 𝐟𝐫𝐢𝐞𝐧𝐝","꒐𝜗𝜚˚⋆⊱﹙🎰﹚미닝이라하옴","[버튼 클릭] customId:upgrade_1780296526219"
"2026-06-01 15:48:59","𝐌𝐲 𝐟𝐫𝐢𝐞𝐧𝐝","꒐𝜗𝜚˚⋆⊱﹙🎰﹚미닝이라하옴","[버튼 클릭] customId:upgrade_1780296537909"
"2026-06-01 15:49:02","𝐌𝐲 𝐟𝐫𝐢𝐞𝐧𝐝","꒐𝜗𝜚˚⋆⊱﹙🎰﹚미닝이라하옴","[버튼 클릭] customId:upgrade_1780296540051"
"2026-06-01 15:49:04","𝐌𝐲 𝐟𝐫𝐢𝐞𝐧𝐝","꒐𝜗𝜚˚⋆⊱﹙🎰﹚미닝이라하옴","[버튼 클릭] customId:upgrade_1780296542614"
"2026-06-01 15:49:07","𝐌𝐲 𝐟𝐫𝐢𝐞𝐧𝐝","꒐𝜗𝜚˚⋆⊱﹙🎰﹚미닝이라하옴","[버튼 클릭] customId:upgrade_1780296544661"
"2026-06-01 15:49:11","𝐌𝐲 𝐟𝐫𝐢𝐞𝐧𝐝","꒐𝜗𝜚˚⋆⊱﹙🎰﹚미닝이라하옴","[버튼 클릭] customId:stop"
